timestamp;experience_years;team_size;company_type;processing_mode;scaling_approach;practice
2026/04/01 12:04:25 AM GMT+3;3-5;4-7;ритейл;Near real-time;Horizontal;Sharding
2026/04/01 12:04:25 AM GMT+3;3-5;4-7;ритейл;Near real-time;Horizontal;Caching
2026/04/01 12:04:25 AM GMT+3;3-5;4-7;ритейл;Near real-time;Horizontal;Load balancing
2026/04/01 12:04:53 AM GMT+3;0-1;1-3;телеком;Batch;Vertical;Partitioning
2026/04/01 12:04:53 AM GMT+3;0-1;1-3;телеком;Batch;Vertical;Autoscaling
2026/04/01 12:04:53 AM GMT+3;0-1;1-3;телеком;Batch;Vertical;Columnar storage
2026/04/01 12:05:25 AM GMT+3;5+;1-3;финтех;Real-time streaming;Horizontal;Load balancing
2026/04/01 12:05:49 AM GMT+3;1-3;1-3;ритейл;Real-time streaming;Комбинированный;Sharding
2026/04/01 12:05:49 AM GMT+3;1-3;1-3;ритейл;Real-time streaming;Комбинированный;Load balancing
2026/04/01 12:05:49 AM GMT+3;1-3;1-3;ритейл;Real-time streaming;Комбинированный;Columnar storage
2026/04/01 12:05:49 AM GMT+3;1-3;1-3;ритейл;Real-time streaming;Комбинированный;Compaction
2026/04/01 12:06:15 AM GMT+3;0-1;8-15;телеком;Batch;Horizontal;Caching
2026/04/01 12:06:15 AM GMT+3;0-1;8-15;телеком;Batch;Horizontal;Load balancing
2026/04/01 12:06:15 AM GMT+3;0-1;8-15;телеком;Batch;Horizontal;Compaction
